month,day,event
1,1,"All works published in 1923 except sound recordings (see 2022 scheduled events) enter the public domain in the United States, the first works to do so since the passage of the 1998 Sonny Bono Copyright Term Extension Act."
1,1,Washington State bans anyone under 21 years of age from purchasing a semi-automatic assault rifle.
1,3,"The Democrats take control of the House of Representatives, with a promise to end the government shutdown, but without funding for President Donald Trump's proposed border wall. The Republicans increase their control of the United States Senate."
1,4,"Government data reveals that the U.S. economy added 312,000 jobs in December, far ahead of predictions of 177,000, and that manufacturing ended 2018 with the most jobs added in one year since 1997."
1,8,"In a televised address to the nation, President Donald Trump makes the case for his proposed border wall."
1,11,Representative Tulsi Gabbard announces her candidacy for U.S. president.
1,12,"The ongoing government shutdown becomes the longest in U.S. history at 22 days, leaving 800,000 employees unpaid."
1,12,Former Secretary of Housing and Urban Development Julían Castro announces his candidacy for U.S. president.
1,15,Senator Kirsten Gillibrand announces her candidacy for U.S. president.
1,19,"President Trump offers a ""compromise"" of three years' additional protection for 700,000 Dreamers who entered the USA illegally with their parents and the 300,000 people holding visas under Temporary Protection Status (TPS) in exchange for funding for his security wall, but the offer is rejected by Democrats."
1,21,The Supreme Court rules that the Trump administration is allowed to limit military service for transgender people.
1,23,"South Bend, Indiana mayor Pete Buttigieg announces his candidacy for U.S. president."
1,25,"Political consultant Roger Stone is charged with seven counts in the 2017–2019 Special Counsel's investigation, including obstruction of justice and witness tampering."
1,25,"Flights are halted into New York's LaGuardia Airport due to shortages of air traffic control staff, as a result of the ongoing government shutdown."
1,25,President Trump agrees to temporarily end the government shutdown as he backs a deal to fund federal agencies for three weeks.
1,28,"The Justice Department charges Chinese tech firm Huawei with multiple counts of fraud, raising U.S.-China tensions."
1,29,Author Marianne Williamson announces her candidacy for U.S. president.
1,30,"Large portions of the United States are hit by a polar vortex, bringing ""once-in-a-generation"" low temperatures and heavy snow. A state of emergency is declared in several states and a number of cold-related deaths are reported."
1,30,Teachers rally in Denver following a vote on January 22 to strike for higher pay.
1,30,"Sandusky, Ohio becomes the first city in the country to make Election Day a paid holiday while eliminating Columbus Day."
2,1,President Donald Trump confirms that the U.S. will leave the Intermediate-range Nuclear Forces treaty.
2,1,Senator Cory Booker announces his candidacy for U.S. president.
2,3,"Super Bowl LIII is hosted at Mercedes-Benz Stadium in Atlanta, Georgia. Tom Brady, the quarterback of the New England Patriots football team, wins his sixth championship, the most NFL world championships ever won by a single player."
2,9,Senator Elizabeth Warren announces her candidacy for U.S. president.
2,10,Senator Amy Klobuchar announces her candidacy for U.S. president.
2,12,"Mexican drug boss Joaquín ""El Chapo"" Guzmán is found guilty on all 10 counts at his drug-trafficking trial at a federal court in New York."
2,15,"Gary Montez Martin murders five people and injures six others in a mass shooting at Henry Pratt Company in Aurora, Illinois."
2,15,President Trump declares a national emergency to free up funds for his proposed border wall.
2,16,"Bishop Theodore Edgar McCarrick is defrocked, following historical sexual abuse allegations. He becomes the most senior Catholic figure to be dismissed from the priesthood in modern times."
2,19,Senator Bernie Sanders announces his candidacy for the 2020 presidential election.
2,20,"U.S. Coast Guard lieutenant Christopher Paul Hasson, who planned a domestic terrorist attack targeting politicians and journalists, is arrested."
2,21,Jussie Smollett alleged assault: Actor Jussie Smollett is arrested after being charged with disorderly conduct for staging a racist attack on himself in Chicago. Smollett maintains his innocence.
2,21,Senator Kamala Harris declares her candidacy for U.S. president.
2,22,Singer R. Kelly is charged with 10 counts of aggravated criminal sexual abuse for incidents dating back as far as 1998.
2,22,National Coalition for Men v. Selective Service System: The United States District Court for the Southern District of Texas rules that male-only conscription breaches the Fourteenth Amendment's equal protection clause.
2,27,President Trump's ex-lawyer Michael Cohen tells Congress that Trump had advanced knowledge of leaked Democratic emails during the 2016 Presidential campaign.
2,27,The 2019 North Korea–United States Hanoi Summit is held in Vietnam. It is the second summit with a United States President and the North Korean leader.
3,1,Washington State governor Jay Inslee announces his candidacy in the 2020 presidential election.
3,3,An unmanned demonstration flight of the SpaceX Dragon achieves successful autonomous docking with the International Space Station.
3,3,"A severe tornado outbreak hits the southern states of Alabama, Georgia, Florida, and South Carolina, leaving at least 23 people dead and leaving 10,000 homes and businesses without electricity."
3,4,Former Colorado governor John Hickenlooper announces his candidacy for the 2020 U.S. Presidential election.
3,12,"The 2019 college admissions bribery scandal becomes public; around 50 people are accused of bribery and fraud to secure admission to elite colleges, including actresses Felicity Huffman and Lori Loughlin."
3,12,"California governor Gavin Newsom places a moratorium on California's death penalty, thus ordering a reprieve for the 737 people on death row."
3,13,Boeing grounds its entire global fleet of 737 Max aircraft in response to evidence gathered following the crashes of Ethiopian Airlines Flight 302 and Lion Air Flight 610.
3,13,Former Representative Beto O'Rourke announces his candidacy for the 2020 U.S. Presidential election.
3,15,"President Trump issues the first veto of his presidency, striking down a Senate resolution to end his national emergency declaration to build a border wall."
3,15,"Hundreds of students stage a walkout and rally at the Capitol building, demanding legal action on climate change. They are joined by students in over 1,600 simultaneous protests in 100 countries around the world."
